ticker,valuation_year,implied_upside,t_bond_rate,beta_ewm_median,volatility_21d_mean,volatility_21d_max,log_volume_mean,market_deviation_mean,market_deviation_std,market_momentum_mean,market_momentum_std,market_3y_return,real_alpha,alpha_hat
CTAS,2022,-0.2826003300889248,0.0388,0.9983136043157544,0.0155807945638112,0.0261816136852096,14.319802795072334,0.0010043755258673,0.0277113675254577,0.0035727899772246,0.0489910741091025,0.236845674166537,0.2725126586433292,0.11823776470075509
CTAS,2023,-0.0050021495167187,0.0388,0.9116788316753592,0.0142446155745575,0.0261816136852096,14.272400079084305,0.0002408888612018,0.029301175298218,0.0013344573133794,0.0520548762165705,0.4712437316645299,0.0916989837993007,-0.04170520400056092
CTAS,2024,-0.0190545673652065,0.0458,0.8882235015703268,0.0118582140884777,0.0303523704289382,14.1524760042459,0.0087805066471735,0.0186479970301173,0.0186410908128447,0.0320154489411498,0.4257566143393334,0.0030979575191927,-0.10364431613935592
CTAS,2025,-0.7395516841944412,0.0418,0.7011723463121087,0.0129299969033651,0.0312001498378455,14.253273213948566,0.0075359614529827,0.020784181558573,0.0167569071355605,0.0361444232704772,0.4476053020495871,-0.1450513325336786,-0.09791144770818053
VCTR,2023,0.0965201561601414,0.0388,1.097821658439466,0.0212874466153835,0.0379464269991097,12.47662948305064,0.0002408888612018,0.029301175298218,0.0013344573133794,0.0520548762165705,0.4712437316645299,0.0571088680385289,-0.0335905566486315
VCTR,2024,0.3440527669059983,0.0458,1.0796097020718023,0.0180476983751507,0.0338260671702644,12.68361607313992,0.0087805066471735,0.0186479970301173,0.0186410908128447,0.0320154489411498,0.4257566143393334,0.7736654202711404,-0.14279175337986655
VCTR,2025,-0.2732212399340608,0.0418,1.3680735847184806,0.0203709804994088,0.0470063656117748,12.785167887536575,0.0075359614529827,0.020784181558573,0.0167569071355605,0.0361444232704772,0.4476053020495871,-0.1659128447354547,-0.11315755852793274
GME,2022,0.1992195860961856,0.0388,1.633863179838695,0.0828628390973725,0.4275842809259757,16.399733631427832,0.0010043755258673,0.0277113675254577,0.0035727899772246,0.0489910741091025,0.236845674166537,-0.3471232039017515,-0.4326745287028594
GME,2023,0.3269123779805962,0.0388,1.7278327170250591,0.0514048112501396,0.1039943600217456,15.497176948780496,0.0002408888612018,0.029301175298218,0.0013344573133794,0.0520548762165705,0.4712437316645299,-0.55252498691397,-0.336085855937478
GME,2024,-0.8505974641275834,0.0458,1.574177158929999,0.0538953886371912,0.2608160350607511,15.527918532227584,0.0087805066471735,0.0186479970301173,0.0186410908128447,0.0320154489411498,0.4257566143393334,0.6018802368115481,-0.6777195529874427
GME,2025,-0.8350150065388402,0.0418,1.1839321706045958,0.0482467859794135,0.2608160350607511,15.890741577843334,0.0075359614529827,0.020784181558573,0.0167569071355605,0.0361444232704772,0.4476053020495871,-0.2091185948338272,-0.5782383935516753
MGY,2023,0.4555958835530782,0.0388,1.0281495642221794,0.0274860970467623,0.0434210667785042,14.367515704406962,0.0002408888612018,0.029301175298218,0.0013344573133794,0.0520548762165705,0.4712437316645299,-0.2504781288066259,-0.013738343221862204
MGY,2024,-0.0643700835339214,0.0458,0.8958036503803213,0.0195599485278181,0.0296234655594668,14.488935206864095,0.0087805066471735,0.0186479970301173,0.0186410908128447,0.0320154489411498,0.4257566143393334,-0.1153330614733643,-0.13981182445745113
AMZN,2022,0.6866112677128495,0.0388,1.1942204942575838,0.0226372220843704,0.0486603104826782,18.028362262049853,0.0010043755258673,0.0277113675254577,0.0035727899772246,0.0489910741091025,0.236845674166537,-0.4947443596419346,0.06720937996580553
AMZN,2023,0.938482557350498,0.0388,1.5346273694607533,0.0254848316335817,0.0486603104826782,17.95713121937732,0.0002408888612018,0.029301175298218,0.0013344573133794,0.0520548762165705,0.4712437316645299,-0.3406267897291286,0.04895206061343864
AMZN,2024,0.8023893920584029,0.0458,1.5040181333906129,0.0188357509667862,0.0339307815853677,17.653611617795402,0.0087805066471735,0.0186479970301173,0.0186410908128447,0.0320154489411498,0.4257566143393334,-0.2036661677392939,-0.13596903306848152
AMZN,2025,0.8200412504547703,0.0418,1.4648986703389906,0.0187383205400567,0.0429953488123465,17.502476658647556,0.0075359614529827,0.020784181558573,0.0167569071355605,0.0361444232704772,0.4476053020495871,-0.4317505660277982,-0.04906505153555204
WYY,2022,-0.8421355160955128,0.0388,0.6213446526038633,0.0356120778973865,0.0655058011614316,10.690949333772036,0.0010043755258673,0.0277113675254577,0.0035727899772246,0.0489910741091025,0.236845674166537,-0.7226036303097303,0.041021421213180434
CZNC,2022,0.3040285828579891,0.0388,0.5455857310684751,0.0156030170475317,0.0300698153181772,9.960698602693393,0.0010043755258673,0.0277113675254577,0.0035727899772246,0.0489910741091025,0.236845674166537,0.1196763913506244,0.07372365372692395
CZNC,2023,0.6396820534910794,0.0388,0.4853997577652263,0.0165454097768396,0.0309459301433945,9.84223672526304,0.0002408888612018,0.029301175298218,0.0013344573133794,0.0520548762165705,0.4712437316645299,-0.1864084167375033,-0.04980098265394572
CZNC,2024,-0.0078996900196127,0.0458,0.8726765011957823,0.0215961542562176,0.0435549307630296,9.948829255766588,0.0087805066471735,0.0186479970301173,0.0186410908128447,0.0320154489411498,0.4257566143393334,-0.3887418112800128,-0.13539731495941168
CZNC,2025,0.9544421193957252,0.0418,0.8066554393295478,0.0200290231807775,0.0435549307630296,10.20534174430493,0.0075359614529827,0.020784181558573,0.0167569071355605,0.0361444232704772,0.4476053020495871,-0.009987223167615,-0.13015762998697053
OGS,2022,-0.6064478134105501,0.0388,0.415700612911889,0.0163891380939235,0.0482718589282655,12.4900000017764,0.0010043755258673,0.0277113675254577,0.0035727899772246,0.0489910741091025,0.236845674166537,-0.2711148900431516,0.04381670321064575
OGS,2023,-0.8445454735800006,0.0388,0.4190767477210629,0.0163240306776557,0.0482718589282655,12.772448604824106,0.0002408888612018,0.029301175298218,0.0013344573133794,0.0520548762165705,0.4712437316645299,-0.3613560337322292,-0.06427624494842954
OGS,2024,-0.9178570206217196,0.0458,0.5157889265614445,0.0137728292686146,0.0210868271294005,12.888598655298289,0.0087805066471735,0.0186479970301173,0.0186410908128447,0.0320154489411498,0.4257566143393334,-0.5680963979882636,-0.12263692093129211
OGS,2025,-0.8103473705512675,0.0418,0.315045834625379,0.012780270339964,0.0208200011277567,12.921842583818124,0.0075359614529827,0.020784181558573,0.0167569071355605,0.0361444232704772,0.4476053020495871,-0.6596411316350239,-0.11656376404356425
AEYE,2025,-1.1897091897007737,0.0418,2.2657817938521028,0.0512945709255065,0.0961100565722723,11.685564187126817,0.0075359614529827,0.020784181558573,0.0167569071355605,0.0361444232704772,0.4476053020495871,-0.5271607111129766,-0.3965065088944808
AMR,2024,-0.6408055270937861,0.0458,0.9722003468821254,0.0303506916412723,0.0614783565161307,12.291597178243176,0.0087805066471735,0.0186479970301173,0.0186410908128447,0.0320154489411498,0.368232856192269,-0.6463015879295155,-0.14683603367218806
AMR,2025,-0.3497494361753959,0.0418,0.9273537478692035,0.0349200445060644,0.0614783565161307,12.358980647747972,0.0075359614529827,0.020784181558573,0.0167569071355605,0.0361444232704772,0.4085166473930659,-0.1618897100997913,-0.14843758757469944
